id,type,readonly,group,name
0,8,1,imu_tests,MPU6500_SIM
1,8,1,imu_tests,HMC5883L_SIM
2,8,1,imu_tests,MS5611_SIM
3,8,1,imu_sensors,HMC5883L_SIM
4,8,1,imu_sensors,MS5611_SIM
5,0,0,system,selftestPassed
6,8,0,system,taskDump
7,8,0,commander,enHighLevel
8,8,0,flightmode,althold
9,8,0,flightmode,poshold
10,8,0,flightmode,posSet
11,8,0,flightmode,yawMode
12,8,0,flightmode,yawRst
13,8,0,flightmode,stabModeRoll
14,8,0,flightmode,stabModePitch
15,8,0,flightmode,stabModeYaw
16,6,0,cmdrCPPM,rateRoll
17,6,0,cmdrCPPM,ratePitch
18,6,0,cmdrCPPM,rateYaw
19,6,0,cmdrCPPM,angRoll
20,6,0,cmdrCPPM,angPitch
21,6,0,pid_rate,roll_kp
22,6,0,pid_rate,roll_ki
23,6,0,pid_rate,roll_kd
24,6,0,pid_rate,pitch_kp
25,6,0,pid_rate,pitch_ki
26,6,0,pid_rate,pitch_kd
27,6,0,pid_rate,yaw_kp
28,6,0,pid_rate,yaw_ki
29,6,0,pid_rate,yaw_kd
30,6,0,pid_attitude,roll_kp
31,6,0,pid_attitude,roll_ki
32,6,0,pid_attitude,roll_kd
33,6,0,pid_attitude,pitch_kp
34,6,0,pid_attitude,pitch_ki
35,6,0,pid_attitude,pitch_kd
36,6,0,pid_attitude,yaw_kp
37,6,0,pid_attitude,yaw_ki
38,6,0,pid_attitude,yaw_kd
39,6,0,sensorfusion6,kp
40,6,0,sensorfusion6,ki
41,6,0,sensorfusion6,baseZacc
42,6,0,posEst,estAlphaAsl
43,6,0,posEst,estAlphaZr
44,6,0,posEst,velFactor
45,6,0,posEst,velZAlpha
46,6,0,posEst,vAccDeadband
47,6,0,posCtlPid,xKp
48,6,0,posCtlPid,xKi
49,6,0,posCtlPid,xKd
50,6,0,posCtlPid,yKp
51,6,0,posCtlPid,yKi
52,6,0,posCtlPid,yKd
53,6,0,posCtlPid,zKp
54,6,0,posCtlPid,zKi
55,6,0,posCtlPid,zKd
56,9,0,posCtlPid,thrustBase
57,9,0,posCtlPid,thrustMin
58,6,0,posCtlPid,rpLimit
59,6,0,posCtlPid,xyVelMax
60,6,0,posCtlPid,zVelMax
61,6,0,velCtlPid,vxKp
62,6,0,velCtlPid,vxKi
63,6,0,velCtlPid,vxKd
64,6,0,velCtlPid,vyKp
65,6,0,velCtlPid,vyKi
66,6,0,velCtlPid,vyKd
67,6,0,velCtlPid,vzKp
68,6,0,velCtlPid,vzKi
69,6,0,velCtlPid,vzKd
70,8,0,kalman,resetEstimation
71,8,0,kalman,quadIsFlying
72,6,0,kalman,pNAcc_xy
73,6,0,kalman,pNAcc_z
74,6,0,kalman,pNVel
75,6,0,kalman,pNPos
76,6,0,kalman,pNAtt
77,6,0,kalman,pNSkew
78,6,0,kalman,mNBaro
79,6,0,kalman,mNGyro_rollpitch
80,6,0,kalman,mNGyro_yaw
81,6,0,kalman,initialX
82,6,0,kalman,initialY
83,6,0,kalman,initialZ
84,8,0,controller,tiltComp
85,10,1,firmware,revision0
86,9,1,firmware,revision1
87,8,1,firmware,modified
